MasterItemNo,ItemDescription,PredictedQty,SafetyStock,RecommendedOrderQty,Vendor,VendorContact,VendorLeadDays,ProcurementStart,ProcurementFinish,NeededBy,ProjectPhase,ProcurementCycle,RiskNotes,Mitigations
511.0,,5,1,6,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,201,21,222,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,33,4,37,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
463.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,44,5,49,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,16,2,18,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
114.0,,5,1,6,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,28,3,31,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,18,2,20,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,20,2,22,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,46,5,51,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,98,10,108,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,23,3,26,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,30,3,33,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
478.0,,81,9,90,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
463.0,,9,1,10,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
6.0,,11,2,13,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,2,1,3,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,2,1,3,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
458.0,,34,4,38,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
463.0,,63,7,70,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,14,2,16,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
162.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,10,1,11,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,43,5,48,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,45,5,50,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
114.0,,39,4,43,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,26,3,29,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,31,4,35,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,70,7,77,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,9,1,10,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,122,13,135,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,35,4,39,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,73,8,81,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
357.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,31,4,35,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,17,2,19,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,69,7,76,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,14,2,16,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,37,4,41,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,4,1,5,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,4,1,5,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,82,9,91,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,50,5,55,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
607.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,72,8,80,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,11,2,13,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,11,2,13,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,67,7,74,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,49,5,54,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,2,1,3,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,52,6,58,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,65,7,72,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,43,5,48,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,108,11,119,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
794.0,,49,5,54,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,204,21,225,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
114.0,,31,4,35,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,137,14,151,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
488.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
794.0,,39,4,43,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
288.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
488.0,,22,3,25,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,11,2,13,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,32,4,36,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,13,2,15,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,9,1,10,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,39,4,43,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,33,4,37,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,46,5,51,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
463.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,97,10,107,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,8,1,9,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
488.0,,8,1,9,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,13,2,15,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
643.0,,5,1,6,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,37,4,41,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
704.0,,104,11,115,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,8,1,9,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
463.0,,37,4,41,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
942.0,,10,1,11,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,53,6,59,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,81,9,90,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,16,2,18,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,133,14,147,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,10,1,11,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
794.0,,43,5,48,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,15,2,17,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
301.0,,41,5,46,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
411.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,5,1,6,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,41,5,46,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,73,8,81,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
357.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,118,12,130,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,18,2,20,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,40,4,44,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,25,3,28,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
316.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,7,1,8,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
447.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
480.0,,38,4,42,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
1043.0,,114,12,126,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Consider 2-stage procurement,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,6,1,7,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,70,7,77,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
224.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
303.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
794.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
411.0,,10,1,11,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,40,4,44,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,53,6,59,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
411.0,,1,1,2,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
488.0,,31,4,35,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
487.0,,21,3,24,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,2,1,3,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
511.0,,59,6,65,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
258.0,,17,2,19,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
209.0,,4,1,5,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
411.0,,28,3,31,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
121.0,,9,1,10,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
50.0,,2,1,3,,,21,2025-11-09,2025-12-03,2025-12-03,Electrical & HVAC,Single order,No vendor in DB — sourcing risk,Identify alternate vendors; consider higher safety stock; allow longer lead time
